country,continent,human_dev_groups,gii_2021
Denmark,Europe,"Very High",0.013
Norway,Europe,"Very High",0.016
Switzerland,Europe,"Very High",0.018
Sweden,Europe,"Very High",0.023
Netherlands,Europe,"Very High",0.025
Finland,Europe,"Very High",0.033
Singapore,Asia,"Very High",0.040
Iceland,Europe,"Very High",0.043
Luxembourg,Europe,"Very High",0.044
Belgium,Europe,"Very High",0.048
